Progress_Vehicle_Position,Crosswalk_Side,Eye_X,Eye_Z,Total_Points,Blindzone_Raw_Point_Count,Blindzone_Point_Count_Filtered,Visible_Point_Count,Blindzone_Raw_Percentage,Blindzone_Filtered_Percentage,Visible_Percentage
80,left_crosswalk,-1.36900019645691,-6.11115837097168,18900,9295,8478,9605,49.17989417989418,44.857142857142854,50.82010582010582
81,left_crosswalk,-1.36863017082214,-6.38279342651367,18900,9157,8410,9743,48.44973544973545,44.49735449735449,51.550264550264544
82,left_crosswalk,-1.36810064315796,-6.65433502197266,18900,9205,8637,9695,48.7037037037037,45.698412698412696,51.2962962962963
83,left_crosswalk,-1.36741900444031,-6.92595434188843,18900,9415,8983,9485,49.81481481481482,47.529100529100525,50.18518518518519
84,left_crosswalk,-1.36659169197083,-7.19759130477905,18900,9769,9412,9131,51.68783068783068,49.7989417989418,48.31216931216931
85,left_crosswalk,-1.36562490463257,-7.46905136108398,18900,10268,9991,8632,54.32804232804232,52.86243386243387,45.67195767195767
86,left_crosswalk,-1.36452150344849,-7.74081373214722,18900,10942,10776,7958,57.8941798941799,57.01587301587302,42.10582010582011
87,left_crosswalk,-1.36328887939453,-8.0124626159668,18900,11781,11605,7119,62.33333333333333,61.402116402116405,37.666666666666664
88,left_crosswalk,-1.36192977428436,-8.28395652770996,18900,12655,12482,6245,66.95767195767196,66.04232804232805,33.04232804232804
89,left_crosswalk,-1.36044716835022,-8.55557727813721,18900,13592,13396,5308,71.91534391534391,70.87830687830687,28.084656084656086
90,left_crosswalk,-1.35884308815002,-8.82734107971191,18900,14338,14108,4562,75.86243386243386,74.64550264550265,24.13756613756614
91,left_crosswalk,-1.35712146759033,-9.09903430938721,18900,14978,14720,3922,79.24867724867724,77.88359788359789,20.75132275132275
92,left_crosswalk,-1.35528349876404,-9.37069416046143,18900,15568,15292,3332,82.37037037037037,80.91005291005291,17.62962962962963
93,left_crosswalk,-1.35333013534546,-9.64233589172363,18900,16039,15745,2861,84.86243386243386,83.3068783068783,15.13756613756614
94,left_crosswalk,-1.35126209259033,-9.91389465332031,18900,16379,16086,2521,86.66137566137566,85.11111111111111,13.338624338624339
95,left_crosswalk,-1.34908008575439,-10.1852684020996,18900,16591,16283,2309,87.78306878306879,86.15343915343915,12.216931216931217
96,left_crosswalk,-1.34677386283875,-10.4573059082031,18900,16679,16367,2221,88.24867724867725,86.5978835978836,11.751322751322752
97,left_crosswalk,-1.34436690807343,-10.7265434265137,18900,16645,16329,2255,88.06878306878308,86.39682539682539,11.931216931216932
98,left_crosswalk,-1.34177565574646,-11.0019359588623,18900,16508,16205,2392,87.34391534391534,85.74074074074073,12.656084656084657
99,left_crosswalk,-1.33910465240479,-11.2698850631714,18900,16285,16003,2615,86.16402116402116,84.67195767195767,13.835978835978835
