point_id,local_x,local_y,local_z,global_x,global_y,global_z
127,-1.17716360092163,-0.00003820331767,0.39905554056168,-1.17716360092163,0.09996179491282,0.39905554056168
128,-1.2271523475647,-0.00003743357956,0.50297665596008,-1.2271523475647,0.0999625697732,0.50297665596008
129,-1.27463042736053,-0.00003658281639,0.60954117774963,-1.27463042736053,0.09996341913939,0.60954117774963
130,-1.31962966918945,-0.00003565102816,0.71875846385956,-1.31962966918945,0.09996435046196,0.71875846385956
131,-1.36218190193176,-0.00003463821486,0.83063769340515,-1.36218190193176,0.09996536374092,0.83063769340515
132,-1.40231871604919,-0.00003354437649,0.945188164711,-1.40231871604919,0.09996645897627,0.945188164711
133,-1.44007194042206,-0.00003236951306,1.06241917610168,-1.44007194042206,0.09996762871742,1.06241917610168
134,-1.47547340393066,-0.00003111362457,1.1823399066925,-1.47547340393066,0.09996888786554,1.1823399066925
135,-1.50855493545532,-0.00002977671102,1.30495953559875,-1.50855493545532,0.09997022151947,1.30495953559875
136,-1.53934812545776,-0.0000283587724,1.43028748035431,-1.53934812545776,0.09997164458036,1.43028748035431
137,-1.56788504123688,-0.00002685980871,1.55833280086517,-1.56788504123688,0.09997314214706,1.55833280086517
138,-1.59419715404511,-0.00002527981997,1.68910491466522,-1.59419715404511,0.09997472167015,1.68910491466522
139,-1.61831641197205,-0.00002361880615,1.82261276245117,-1.61831641197205,0.09997638314962,1.82261276245117
140,-1.64027440547943,-0.00002187676728,1.95886600017548,-1.64027440547943,0.09997812658548,1.95886600017548
141,-1.66010320186615,-0.00002005370334,2.09787344932556,-1.66010320186615,0.09997994452715,2.09787344932556
142,-1.67783427238464,-0.00001814961433,2.23964500427246,-1.67783427238464,0.09998185187578,2.23964500427246
143,-1.69349956512451,-0.00001616450027,2.38418889045715,-1.69349956512451,0.09998383373022,2.38418889045715
144,-1.70713090896606,-0.00001409836113,2.53151535987854,-1.70713090896606,0.09998590499163,2.53151535987854
145,-1.71875989437103,-0.00001195119694,2.68163299560547,-1.71875989437103,0.09998805075884,2.68163299560547
146,-1.72841846942902,-0.00000972300768,2.8345513343811,-1.72841846942902,0.09999027848244,2.8345513343811
147,-1.73613822460175,-0.00000741379336,2.99027967453003,-1.73613822460175,0.09999258816242,2.99027967453003
148,-1.74195098876953,-0.00000502355397,3.14882707595825,-1.74195098876953,0.09999497979879,3.14882707595825
149,-1.74588859081268,-0.00000255228952,3.31020283699036,-1.74588859081268,0.09999744594097,3.31020283699036
150,-1.74798285961151,0.0,3.47441601753235,-1.74798285961151,0.10000000149012,3.47441601753235
151,-1.74911093711853,0.00000247231947,3.64071488380432,-1.74911093711853,0.10000247508287,3.64071488380432
152,-1.75013113021851,0.00000470789382,3.80825757980347,-1.75013113021851,0.10000471025705,3.80825757980347
153,-1.75104606151581,0.00000671305315,3.97692108154297,-1.75104606151581,0.10000671446323,3.97692108154297
154,-1.75185883045197,0.00000849412754,4.14658164978027,-1.75185883045197,0.100008495152,4.14658164978027
155,-1.75257217884064,0.00001005744707,4.31711578369141,-1.75257217884064,0.10001005977392,4.31711578369141
